title,author,goodreads_url,ol_title,ol_author,cover_url,openlibrary_url,description,title_clean,author_clean,summary_gpt,themes,tone,age_range,needs_fix
Where the Wild Things Are,Maurice Sendak,https://www.goodreads.com/book/show/19543.Where_the_Wild_Things_Are,Where the Wild Things Are,Maurice Sendak,https://covers.openlibrary.org/b/id/50842-L.jpg,https://openlibrary.org/works/OL2568879W,"This is an inspired children's book about a boy's passage through tempestuous aspects of life.

Max, a naughty little boy, sent to bed without his supper, sails to the land of the wild things, where he becomes their king.",Where The Wild Things Are,Maurice Sendak,A boy named Max goes on a wild adventure to a land of wild creatures after being sent to bed without supper.,"imagination, adventure, friendship",adventurous,6-8,False
The Very Hungry Caterpillar,Eric Carle,https://www.goodreads.com/book/show/4948.The_Very_Hungry_Caterpillar,The Very Hungry Caterpillar,Eric Carle,https://covers.openlibrary.org/b/id/7835968-L.jpg,https://openlibrary.org/works/OL52987W,"One sunny day, a caterpillar pops out of an egg. He is very hungry and begins searching for food.  He eats his way through ten very sweet pages and gets a tummy ache before finally finding a good, healthy leaf, which makes him sleepy. Then something really amazing happens. But you will have to read it your self to find out what!",The Very Hungry Caterpillar,Eric Carle,A hungry caterpillar eats his way through various foods before finding a healthy leaf and undergoing a surprising transformation.,"growth, eating habits, transformation",whimsical,3-5,False
The Giving Tree,Shel Silverstein,https://www.goodreads.com/book/show/370493.The_Giving_Tree,The Giving Tree,Shel Silverstein,https://covers.openlibrary.org/b/id/8981758-L.jpg,https://openlibrary.org/works/OL3368288W,"From Shel Silverstein, New York Times bestselling author of Where the Sidewalk Ends and A Light in the Attic, comes a poignant picture book about love and acceptance, cherished for over fifty years. This classic is perfect for both young readers and lifelong fans.

""Once there was a tree...and she loved a little boy.""

So begins a story of unforgettable perception, beautifully written and illustrated by the gifted and versatile Shel Silverstein. This moving parable for all ages offers a touching interpretation of the gift of giving and a serene acceptance of another's capacity to love in return.

Every day the boy would come to the tree to eat her apples, swing from her branches, or slide down her trunk...and the tree was happy. But as the boy grew older he began to want more from the tree, and the tree gave and gave and gave. This is a tender story, touched with sadness, aglow with consolation.

The Giving Tree is a meaningful gift for milestone events such as graduations, birthdays, and baby showers.

Shel Silverstein's incomparable career as a bestselling children's book author and illustrator began with Lafcadio, the Lion Who Shot Back. He is also the creator of picture books including A Giraffe and a Half, Who Wants a Cheap Rhinoceros?, The Missing Piece, The Missing Piece Meets the Big O, and the perennial favorite The Giving Tree, and of classic poetry collections such as Where the Sidewalk Ends, A Light in the Attic, Falling Up, Every Thing On It, Don't Bump the Glump!, and Runny Babbit plus Runny Babbit Returns.",The Giving Tree,Shel Silverstein,"A story about a tree who gives everything to a boy she loves, showcasing the themes of selflessness, love, and sacrifice. The narrative explores the evolving relationship between the boy and the tree as he grows older.","selflessness, love, sacrifice",touching,6-8,False
Green Eggs and Ham,Dr. Seuss,https://www.goodreads.com/book/show/23772.Green_Eggs_and_Ham,Green Eggs and Ham,Dr. Seuss,https://covers.openlibrary.org/b/id/231746-L.jpg,https://openlibrary.org/works/OL1898308W,"Sam-I-am tries to persuade the character in the top hat to try green eggs and ham.
 “Do you like green eggs and ham?” asks Sam-I-am in this Beginner Book by Dr. Seuss. In a house or with a mouse? In a boat or with a goat? On a train or in a tree? Sam keeps asking persistently. With unmistakable characters and signature rhymes, Dr. Seuss’s beloved favorite has cemented its place as a children’s classic. In this most famous of cumulative tales, the list of places to enjoy green eggs and ham, and friends to enjoy them with, gets longer and longer. Follow Sam-I-am as he insists that this unusual treat is indeed a delectable snack to be savored everywhere and in every way.",Green Eggs And Ham,Dr. Seuss,"A persistent character named Sam-I-am tries to convince another character to try green eggs and ham in various locations, using rhymes and humor along the way.","persuasion, open-mindedness, trying new things",playful,3-5,False
Goodnight Moon,Margaret Wise Brown,https://www.goodreads.com/book/show/32929.Goodnight_Moon,Goodnight Moon,Margaret Wise Brown,https://covers.openlibrary.org/b/id/35556-L.jpg,https://openlibrary.org/works/OL151798W,"Goodnight to each of the objects in the great green room: the chairs, a comb, and the air.",Goodnight Moon,Margaret Wise Brown,A bedtime story that bids goodnight to various objects in the room.,"bedtime, routine, objects",calm,3-5,False
"The Cat in the Hat (Cat in the Hat, #1)",Dr. Seuss,https://www.goodreads.com/book/show/233093.The_Cat_in_the_Hat,The Cat in the Hat,Dr. Seuss,https://covers.openlibrary.org/b/id/11342-L.jpg,https://openlibrary.org/works/OL1898309W,"Two children sitting at home on a rainy day are visited by the Cat in the Hat, who shows them some tricks and games. Includes a Latin-English glossary and a note on the verse form and rhythm.","The Cat In The Hat (Cat In The Hat, #1)",Dr. Seuss,"Two children are visited in the Hat on a rainy day, where they are entertained with tricks and games.","imagination, playfulness, creativity",whimsical,3-5,False
If You Give a Mouse a Cookie,Laura Joffe Numeroff,https://www.goodreads.com/book/show/767680.If_You_Give_a_Mouse_a_Cookie,If You Give a Mouse a Cookie,Laura Joffe Numeroff,https://covers.openlibrary.org/b/id/50977-L.jpg,https://openlibrary.org/works/OL61432W,Relating the cycle of requests a mouse is likely to make after you give him a cookie takes the reader through a young child's day.,If You Give A Mouse A Cookie,Laura Joffe Numeroff,"A story about a mouse who makes a series of requests after being given a cookie, following the adventures of a young child's day.","friendship, cause and effect, gratitude",playful,3-5,False
Love You Forever,Robert Munsch,https://www.goodreads.com/book/show/310259.Love_You_Forever,Love You Forever,Robert N Munsch,https://covers.openlibrary.org/b/id/772161-L.jpg,https://openlibrary.org/works/OL88707W,"The story details the cycle of life by chronicling the experiences of a young son and his mother throughout the course of the boy's life, and describing the exasperating behaviour exhibited by him throughout his youth. In spite of her occasional aggravation caused by her son's behaviour, the mother nonetheless visits his bedroom nightly to cradle him in her arms, and sing a brief lullaby promising to always love him. After her son enters adulthood and leaves home, his elderly mother occasionally sneaks into his bedroom at night to croon her customary lullaby. However she gradually grows old and frail, and her grown son visits his feeble, sickly mother for the final time. When he first arrives, his mother tries to sing her lullaby to him, but she is too weak to finish. He then cradles her in his arms and sings an altered rendition of her lullaby in reciprocation of the unconditional love that she had shown him throughout his life, vowing to always love her in return. After returning home in a scene implying the death of his mother, he cradles his newborn daughter and sings his mother's signature lullaby for her, implying that the cycle will continue.",Love You Forever,Robert Munsch,A poignant story about the enduring love between a mother and her son as they navigate the different stages of life together.,"love, family, aging, unconditional love",emotional,6-8,False
Corduroy,Don Freeman,https://www.goodreads.com/book/show/231850.Corduroy,Corduroy,Don Freeman,https://covers.openlibrary.org/b/id/1333207-L.jpg,https://openlibrary.org/works/OL4114525W,"A toy bear in a department store wants a number of things, but when a little girl finally buys him he finds what he has always wanted most of all.",Corduroy,Don Freeman,"A toy bear in a department store dreams of finding a loving home, and his wish comes true when a little girl buys him.","friendship, belonging, happiness",heartwarming,3-5,False
The Lorax,Dr. Seuss,https://www.goodreads.com/book/show/7784.The_Lorax,The Lorax,Dr. Seuss,https://covers.openlibrary.org/b/id/422253-L.jpg,https://openlibrary.org/works/OL261155W,"Long before ""going green"" was mainstream, Dr. Seuss's Lorax spoke for the trees and warned of the dangers of disrespecting the environment. In this cautionary rhyming tale (printed on recycled paper) we learn of the Once-ler, who came across a valley of Truffula Trees and Brown Bar-ba-loots, and how his harvesting of the tufted trees changed the landscape forever. - Publisher. The Lorax is the story of a boy who's looking for answers. Living in a ruined town, this little guy wants to know the story of the Lorax, so he goes to the Once-ler, an elderly inventor/manufacturer. Doc Brown -- ahem, the Once-ler -- tells the boy how the town came to be ruined, and most importantly, what he can do to turn things around. Who exactly was this this Lorax character, what was it doing here, and why was it taken away? These are questions only a man name the Once-ler can answer. The Once-ler's last words to the boy: ""Grow a forest. Protect it from axes that hack./ Then the Lorax/ and all of his friends/ may come back."" - shmoop.com",The Lorax,Dr. Seuss,"A cautionary tale about environmental conservation, 'The Lorax' follows a boy seeking answers from the Once-ler about the disappearance of the Lorax and the destruction of the town's environment.","environmental conservation, greed, preservation, legacy",cautionary,6-8,False
Madeline,Ludwig Bemelmans,https://www.goodreads.com/book/show/475339.Madeline,Madeline's Rescue,Ludwig Bemelmans,https://covers.openlibrary.org/b/id/973931-L.jpg,https://openlibrary.org/works/OL1981005W,"A hound rescues a schoolgirl from the Seine, becomes a beloved school pet, is chased away by the trustees, and returns with a surprise.",Madeline,Ludwig Bemelmans,"A hound rescues a schoolgirl and becomes a cherished school pet before being chased away , only to return with a surprise.","loyalty, friendship, belonging",heartwarming,6-8,False
How the Grinch Stole Christmas!,Dr. Seuss,https://www.goodreads.com/book/show/113946.How_the_Grinch_Stole_Christmas_,How the Grinch Stole Christmas!,Dr. Seuss,https://covers.openlibrary.org/b/id/12055-L.jpg,https://openlibrary.org/works/OL261169W,"The Grinch tries to stop Christmas from arriving by stealing all the presents and food from the village, but much to his surprise it comes anyway. Could Christmas be more than presents?",How The Grinch Stole Christmas!,Dr. Seuss,"The Grinch attempts to ruin Christmas and food, but ultimately learns the true meaning of the holiday.","Christmas, kindness, redemption",heartwarming,6-8,False
The Monster at the End of this Book,Jon Stone,https://www.goodreads.com/book/show/44186.The_Monster_at_the_End_of_this_Book,The Monster at the End of This Book,Jon Stone,https://covers.openlibrary.org/b/id/8580217-L.jpg,https://openlibrary.org/works/OL3009031W,"Is there a monster at the end of this book? Lovable, furry old Grover believes that there is, and he will try anything to stop you from turning the pages to find him! The Monster at the End of This Book, the bestselling Sesame Street book of all time, is an exciting and highly original tale that children will want to read again and again.",The Monster At The End Of This Book,Jon Stone,"A lovable, furry monster named Grover tries to stop readers from turning the pages, convinced there is a monster at the end of the book.","curiosity, fear, friendship",playful,3-5,False
Chicka Chicka Boom Boom,Bill Martin Jr.,https://www.goodreads.com/book/show/293595.Chicka_Chicka_Boom_Boom,Chicka chicka boom boom,Bill Martin Jr.,https://covers.openlibrary.org/b/id/1320266-L.jpg,https://openlibrary.org/works/OL59121W,An alphabet rhyme/chant that relates what happens when the whole alphabet tries to climb a coconut tree.,Chicka Chicka Boom Boom,Bill Martin Jr.,A fun and rhythmic alphabet rhyme about the chaos that ensues when the letters of the alphabet try to climb a coconut tree.,"alphabet, cooperation, persistence",whimsical,3-5,False
"One Fish, Two Fish, Red Fish, Blue Fish",Dr. Seuss,https://www.goodreads.com/book/show/7770.One_Fish_Two_Fish_Red_Fish_Blue_Fish,"One Fish, Two Fish, Red Fish, Blue Fish",Dr. Seuss,https://covers.openlibrary.org/b/id/12096-L.jpg,https://openlibrary.org/works/OL261202W,"A story-poem about the activities of such unusual animals as the Nook, Wump, Yink, Yop, Gack, and the Zeds.","One Fish, Two Fish, Red Fish, Blue Fish",Dr. Seuss,"A whimsical story-poem about the activities of unique and unusual animals like the Nook, Wump, Yink, Yop, Gack, and the Zeds.","imagination, creativity, uniqueness",whimsical,3-5,False
"Brown Bear, Brown Bear, What Do You See?",Bill Martin Jr.,https://www.goodreads.com/book/show/759611.Brown_Bear_Brown_Bear_What_Do_You_See_,"Brown Bear, Brown Bear, What Do You See?",Bill Martin Jr.,https://covers.openlibrary.org/b/id/12624136-L.jpg,https://openlibrary.org/works/OL59133W,"Children see a variety of animals, each one a different color, and a teacher looking at them.","Brown Bear, Brown Bear, What Do You See?",Bill Martin Jr.,A simple story where children observe colorful animals and a teacher watching them.,"colors, animals, observation",observant,3-5,False
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",Judith Viorst,https://www.goodreads.com/book/show/46677.Alexander_and_the_Terrible_Horrible_No_Good_Very_Bad_Day,"Alexander and the Terrible, Horrible, No Good, Very Bad Day",Judith Viorst,https://covers.openlibrary.org/b/id/433572-L.jpg,https://openlibrary.org/works/OL1932036W,"On a day when everything goes wrong for him, Alexander is consoled by the thought that other people have bad days too.","Alexander And The Terrible, Horrible, No Good, Very Bad Day",Judith Viorst,"A young boy named Alexander finds comfort in knowing that everyone experiences bad days, as he navigates through a series of unfortunate events.","empathy, resilience, perspective",empathetic,6-8,False
Matilda,Roald Dahl,https://www.goodreads.com/book/show/39988.Matilda,Matilda,Roald Dahl,https://covers.openlibrary.org/b/id/12889769-L.jpg,https://openlibrary.org/works/OL45846W,"No podemos resistirnos a Matilda y recomendar a su autor a los niños que no lo conozcan. Matilda debe poner orden en una escuela poco acogedora porque sus profesores no están a la altura de su profesión. Pero el humor, la ironía y también la ternura harán que la escuela termine siendo un lugar amable donde ayuden a los niños a crecer y a leer. Roald Dahl decía que todos los niños tenían una brasa y que alguien debe encender el fuego y mantenerlo encendido. La escuela tiene este papel que cumplir porque de ello depende la luz del mundo.

Source: [1], back cover


  [1]: https://archive.org/details/matilda00roal",Matilda,Roald Dahl,"Matilda must bring order to an unwelcoming school with incompetent teachers. Through humor, irony, and tenderness, the school becomes a friendly place where children are helped to grow and read.","friendship, education, humor",whimsical,8-12,False
"Harold and the Purple Crayon (Harold, #1)",Crockett Johnson,https://www.goodreads.com/book/show/98573.Harold_and_the_Purple_Crayon,Harold and the Purple Crayon,Crockett Johnson,https://covers.openlibrary.org/b/id/50758-L.jpg,https://openlibrary.org/works/OL3544186W,"""Harold loves animals so much that he decides to find out what it's like to be one. Join Harold and an elephant, a camel, a herd of cheetahs, and a slippery bunch of penguins on this wildlife adventure in his imagination.""--P. [4] cover.","Harold And The Purple Crayon (Harold, #1)",Crockett Johnson,"A young boy named Harold goes on a wildlife adventure in his imagination, experiencing life as various animals.","imagination, animals, adventure",whimsical,3-5,False
"The Tale of Peter Rabbit (World of Beatrix Potter, #1)",Beatrix Potter,https://www.goodreads.com/book/show/19321.The_Tale_of_Peter_Rabbit,The Tale of Peter Rabbit,Beatrix Potter,https://covers.openlibrary.org/b/id/2557658-L.jpg,https://openlibrary.org/works/OL26460746W,One of the best known and loved children's stories is the story of naughty Peter Rabbit and his misadventures as he is chased around a garden.,"The Tale Of Peter Rabbit (World Of Beatrix Potter, #1)",Beatrix Potter,A mischievous rabbit named Peter gets into trouble while exploring a garden.,"mischievousness, exploration, consequences",whimsical,3-5,False
