title,author,current_ml_estimate,ml_confidence,search_query,google_search_url,verified_lexile,lexile_source,collection_date,notes,status,lexile_prefix,lexile_numeric,book_type,predicted_lexile_age_model,age_model_confidence,prediction_method
Where The Wild Things Are,Maurice Sendak,1045.0,0.9,"""Where the Wild Things Are"" ""Maurice Sendak"" lexile level",https://www.google.com/search?q=Where+the+Wild+Things+Are+Maurice+Sendak+lexile+level,AD740,Educational Resources,2025-09-03,"AD=Adult Directed for ages 5-8, Grades K-3, AR 3.4, Caldecott Medal",Complete,AD,740.0,Adult_Directed,,,
"The Cat In The Hat (Cat In The Hat, #1)",Dr. Seuss,1091.0,0.9,"""The Cat in the Hat"" ""Dr. Seuss"" lexile level",https://www.google.com/search?q=The+Cat+in+the+Hat+Dr.+Seuss+lexile+level,430.0,Multiple Educational Sources,2025-09-03,"Fountas & Pinnell J, ATOS 2.1, Ages 3-7, 61 pages",Complete,,430.0,Standard_Lexile,,,
Green Eggs And Ham,Dr. Seuss,1356.0,0.8,"""Green Eggs and Ham"" ""Dr. Seuss"" lexile level",https://www.google.com/search?q=Green+Eggs+and+Ham+Dr.+Seuss+lexile+level,30.0,Official Amazon/Educational Sources,2025-09-03,"Uses only 50 words, 49 monosyllabic, Flesch Reading Ease 113.1; Ages 2-5, Pre-K to 1st grade, uses only 50 words, beginner reader",Complete,,30.0,Standard_Lexile,,,
Goodnight Moon,Margaret Wise Brown,1096.0,0.9,"""Goodnight Moon"" ""Margaret Wise Brown"" lexile level",https://www.google.com/search?q=Goodnight+Moon+Margaret+Wise+Brown+lexile+level,AD360,LightSailed,2025-09-03,"AD=Adult Directed, Fountas & Pinnell H, 4 words per page, ages 0-4",Complete,AD,360.0,Adult_Directed,,,
The Very Hungry Caterpillar,Eric Carle,1316.0,0.8,"""The Very Hungry Caterpillar"" ""Eric Carle"" lexile level",https://www.google.com/search?q=The+Very+Hungry+Caterpillar+Eric+Carle+lexile+level,AD460,Multiple Educational Sources,2025-09-03,"AD=Adult Directed, Guided Reading Level J, ages 3-7, classic picture book",Complete,AD,460.0,Adult_Directed,,,
Bridge To Terabithia,Katherine Paterson,1172.0,0.9,"""Bridge to Terabithia"" ""Katherine Paterson"" lexile level",https://www.google.com/search?q=Bridge+to+Terabithia+Katherine+Paterson+lexile+level,810.0,LightSailed/Educational Sources,2025-09-03,"AR 4.6, Grades 4-7, Ages 10-13, Newbery Medal Winner 1978",Complete,,810.0,Standard_Lexile,,,
Matilda,Roald Dahl,1288.0,0.8,"""Matilda"" ""Roald Dahl"" lexile level",https://www.google.com/search?q=Matilda+Roald+Dahl+lexile+level,840.0,LightSail Educational Platform,2025-09-03,"AR Level 5.0, Guided Reading Level R, Grades 3-4, Ages 8-12",Complete,,840.0,Standard_Lexile,,,
The Bfg,Roald Dahl,1253.0,0.8,"""The BFG"" ""Roald Dahl"" lexile level",https://www.google.com/search?q=The+BFG+Roald+Dahl+lexile+level,720.0,LightSail Educational Platform,2025-09-03,"ATOS Level 4.8, Grades 4-6, Ages 7-10, Classic Roald Dahl",Complete,,720.0,Standard_Lexile,,,
"Charlie And The Chocolate Factory (Charlie Bucket, #1)",Roald Dahl,1309.0,0.8,"""Charlie and the Chocolate Factory"" ""Roald Dahl"" lexile level",https://www.google.com/search?q=Charlie+and+the+Chocolate+Factory+Roald+Dahl+lexile+level,810.0,Multiple Educational Sources,2025-09-03,"AR Level 4.8, Guided Reading Level R, Ages 8-12, Classic Roald Dahl",Complete,,810.0,Standard_Lexile,,,
The Giving Tree,Shel Silverstein,1092.0,0.9,"""The Giving Tree"" ""Shel Silverstein"" lexile level",https://www.google.com/search?q=The+Giving+Tree+Shel+Silverstein+lexile+level,530,Multiple Educational Sources,2025-09-03,"Ages 6-8, Grade 2-3, 64 pages, ~10 words per page, classic picture book",Complete,,530.0,Standard_Lexile,,,
