title,author,goodreads_url,ol_title,ol_author,cover_url,openlibrary_url,description,title_clean,author_clean,reading_level_sources,has_level_data,reading_level_estimate,summary_gpt,themes,tone,age_range_llm,reading_level_llm,complexity_analysis,reading_confidence_llm,llm_skipped,skip_reason,enriched_lexile_score,enriched_lexile_source,enriched_lexile_confidence,enrichment_method,enrichment_tier,found,enrichment_date
"The Wishing Spell (The Land of Stories, #1)",Chris Colfer,https://www.goodreads.com/book/show/11607446-the-wishing-spell,The Wishing Spell,Chris Colfer,https://covers.openlibrary.org/b/id/7254710-L.jpg,https://openlibrary.org/works/OL16585191W,"Frustrated by all the happy goofy representations of fairy tales? (Note: Chris began the concept for this book in his late high school years, which were much earlier than the copyright date of 2012.) Well, so was Chris. So, he decided to mix them up a little. This book has several of the standard fairy tale characters, such as Red Riding Hood, the witch who liked to eat children (Hansel & Gretel), Snow White, the Frog Prince, and more. The thing is, the Frog Prince is in hiding; Red Riding Hood is a snippy warrior-type (bounty hunter, if I remember correctly) on a mighty steed, Snow White is pregnant and rules over a very troubled kingdom of territories that the two children who hold the book that transported them to this crazy land must navigate to get to Snow White's castle. Most of the territories are extremely dangerous. This book is both hilariously witty (much like Chris himself) and thrilling (but not too scary). It is a delight for all ages.","The Wishing Spell (The Land Of Stories, #1)",Chris Colfer,"{""llm_analysis"": {""age_range"": ""9-12"", ""reading_category"": ""Intermediate Readers (9-12)"", ""confidence"": 0.9, ""source"": ""gpt_analysis""}}",True,"{""age_range"": ""9-12"", ""reading_category"": ""Intermediate Readers (9-12)"", ""confidence"": 0.9, ""source"": ""llm_analysis""}",A humorous and thrilling twist on The story follows two children navigating through dangerous territories to reach Snow White's castle in a troubled kingdom.,"fairy tales, humor, adventure, challenge",humorous,9-12,Intermediate Readers (9-12),"{""vocabulary"": ""moderate"", ""sentence_structure"": ""moderate"", ""concepts"": ""mixed""}",0.9,False,,,not_found,none,comprehensive_search,,False,2025-09-09T22:52:59.850172
Math Curse,Jon Scieszka,https://www.goodreads.com/book/show/174329.Math_Curse,Math Curse,Jon Scieszka,https://covers.openlibrary.org/b/id/5291299-L.jpg,https://openlibrary.org/works/OL11024875W,"When the teacher tells her class that they can think of almost everything as a math problem, one student acquires a math anxiety which becomes a real curse.",Math Curse,Jon Scieszka,"{""llm_analysis"": {""age_range"": ""6-8"", ""reading_category"": ""Beginning Readers (6-8)"", ""confidence"": 0.9, ""source"": ""gpt_analysis""}}",True,"{""age_range"": ""6-8"", ""reading_category"": ""Beginning Readers (6-8)"", ""confidence"": 0.9, ""source"": ""llm_analysis""}","A student develops math anxiety after being told everything can be seen as a math problem, leading to humorous and relatable situations.","math, anxiety, problem-solving, education",humorous,6-8,Beginning Readers (6-8),"{""vocabulary"": ""simple"", ""sentence_structure"": ""simple"", ""concepts"": ""mixed""}",0.9,,,,not_found,none,comprehensive_search,,False,2025-09-09T22:53:00.743482
Fanny's Dream,Caralyn Buehner,https://www.goodreads.com/book/show/220068.Fanny_s_Dream,Fanny's Dream,Caralyn Buehner,https://covers.openlibrary.org/b/id/575165-L.jpg,https://openlibrary.org/works/OL2647404W,"Fanny Agnes is a sturdy farm girl who dreams of marrying a prince, but when her fairy godmother doesn't show up, she decides on a local farmer instead.",Fanny'S Dream,Caralyn Buehner,"{""llm_analysis"": {""age_range"": ""4-8"", ""reading_category"": ""Early Readers (4-8)"", ""confidence"": 0.9, ""source"": ""gpt_analysis""}}",True,"{""age_range"": ""4-8"", ""reading_category"": ""Early Readers (4-8)"", ""confidence"": 0.9, ""source"": ""llm_analysis""}","A farm girl named Fanny dreams of marrying a prince, but ends up choosing a local farmer when her fairy godmother fails to appear.","dreams, love, self-empowerment, fairy tales",whimsical,4-8,Early Readers (4-8),"{""vocabulary"": ""simple"", ""sentence_structure"": ""simple"", ""concepts"": ""concrete""}",0.9,,,,not_found,none,comprehensive_search,,False,2025-09-09T22:53:01.682774
"Prince Caspian (Chronicles of Narnia, #2)",C.S. Lewis,https://www.goodreads.com/book/show/121749.Prince_Caspian,Prince Caspian,C.S. Lewis,https://covers.openlibrary.org/b/id/45897-L.jpg,https://openlibrary.org/works/OL71069W,"In his effort to bring peace to troubled Narnia, Prince Caspian blows his magic horn to summons Peter, Susan, Lucy and Edmond to help him with this difficult task.","Prince Caspian (Chronicles Of Narnia, #2)",C.S. Lewis,"{""llm_analysis"": {""age_range"": ""9-12"", ""reading_category"": ""Intermediate Readers (9-12)"", ""confidence"": 0.9, ""source"": ""gpt_analysis""}}",True,"{""age_range"": ""9-12"", ""reading_category"": ""Intermediate Readers (9-12)"", ""confidence"": 0.9, ""source"": ""llm_analysis""}",Prince Caspian calls on the Pevensie siblings to restore peace in Narnia.,"loyalty, bravery, friendship",adventurous,9-12,Intermediate Readers (9-12),"{""vocabulary"": ""moderate"", ""sentence_structure"": ""moderate"", ""concepts"": ""mixed""}",0.9,,,,not_found,none,comprehensive_search,,False,2025-09-09T22:53:02.626598
"The Tale of Mrs. Tiggy-Winkle (World of Beatrix Potter, #6)",Beatrix Potter,https://www.goodreads.com/book/show/543505.The_Tale_of_Mrs_Tiggy_Winkle,The Tale of Mrs. Tiggy-Winkle,Beatrix Potter,https://covers.openlibrary.org/b/id/6567894-L.jpg,https://openlibrary.org/works/OL108771W,"Lucie visits the laundry of Mrs. Tiggy-Winkle, a hedgehog, and finds her lost handerchiefs.","The Tale Of Mrs. Tiggy-Winkle (World Of Beatrix Potter, #6)",Beatrix Potter,"{""llm_analysis"": {""age_range"": ""3-5"", ""reading_category"": ""Early Readers (3-5)"", ""confidence"": 0.9, ""source"": ""gpt_analysis""}}",True,"{""age_range"": ""3-5"", ""reading_category"": ""Early Readers (3-5)"", ""confidence"": 0.9, ""source"": ""llm_analysis""}","A young girl named Lucie visits Mrs. Tiggy-Winkle, a hedgehog who runs a laundry, and discovers her missing handkerchiefs.","friendship, helpfulness, lost and found",charming,3-5,Early Readers (3-5),"{""vocabulary"": ""simple"", ""sentence_structure"": ""simple"", ""concepts"": ""concrete""}",0.9,,,,not_found,none,comprehensive_search,,False,2025-09-09T22:53:03.551070
"Redwall (Redwall, #1)",Brian Jacques,https://www.goodreads.com/book/show/7996.Redwall,Redwall (Redwall #1),Brian Jacques,https://covers.openlibrary.org/b/id/2325082-L.jpg,https://openlibrary.org/works/OL465952W,"When the peaceful life of ancient Redwall Abbey is shattered by the arrival of the evil rat Cluny and his villainous hordes, Matthias, a young mouse, determines to find the legendary sword of Martin the Warrior which, he is convinced, will help Redwall's inhabitants destroy the enemy.","Redwall (Redwall, #1)",Brian Jacques,"{""llm_analysis"": {""age_range"": ""9-12"", ""reading_category"": ""Intermediate Readers (9-12)"", ""confidence"": 0.9, ""source"": ""gpt_analysis""}}",True,"{""age_range"": ""9-12"", ""reading_category"": ""Intermediate Readers (9-12)"", ""confidence"": 0.9, ""source"": ""llm_analysis""}",A young mouse named Matthias sets out to find a legendary sword to help defend Redwall Abbey from an evil rat and his horde.,"friendship, good vs evil, courage",adventurous,9-12,Intermediate Readers (9-12),"{""vocabulary"": ""moderate"", ""sentence_structure"": ""moderate"", ""concepts"": ""mixed""}",0.9,,,,not_found,none,comprehensive_search,,False,2025-09-09T22:53:04.439778
"Chitty Chitty Bang Bang (Chitty Chitty Bang Bang, #1)",Ian Fleming,https://www.goodreads.com/book/show/576335.Chitty_Chitty_Bang_Bang,"Chitty-Chitty-Bang-Bang, the magical car",Ian Fleming,https://covers.openlibrary.org/b/id/10579734-L.jpg,https://openlibrary.org/works/OL85731W,"Two children persuade their father, an inventor, to purchase and restore an old car which turns out to have magical powers.","Chitty Chitty Bang Bang (Chitty Chitty Bang Bang, #1)",Ian Fleming,"{""llm_analysis"": {""age_range"": ""6-8"", ""reading_category"": ""Beginning Readers (6-8)"", ""confidence"": 0.9, ""source"": ""gpt_analysis""}}",True,"{""age_range"": ""6-8"", ""reading_category"": ""Beginning Readers (6-8)"", ""confidence"": 0.9, ""source"": ""llm_analysis""}",Two children convince their inventor father to buy and fix up an old car with magical abilities.,"family, invention, magic",whimsical,6-8,Beginning Readers (6-8),"{""vocabulary"": ""simple"", ""sentence_structure"": ""simple"", ""concepts"": ""concrete""}",0.9,,,,not_found,none,comprehensive_search,,False,2025-09-09T22:53:05.311562
"The Tale of Benjamin Bunny (World of Beatrix Potter, #4)",Beatrix Potter,https://www.goodreads.com/book/show/756712.The_Tale_of_Benjamin_Bunny,The Tale of Benjamin Bunny,Beatrix Potter,https://covers.openlibrary.org/b/id/10447931-L.jpg,https://openlibrary.org/works/OL22156524W,"Peter's mischievous cousin, Benjamin Bunny, persuades him to go back to Mr. McGregor's garden to retrieve the clothes he lost there.","The Tale Of Benjamin Bunny (World Of Beatrix Potter, #4)",Beatrix Potter,"{""llm_analysis"": {""age_range"": ""3-5"", ""reading_category"": ""Early Readers (3-5)"", ""confidence"": 0.9, ""source"": ""gpt_analysis""}}",True,"{""age_range"": ""3-5"", ""reading_category"": ""Early Readers (3-5)"", ""confidence"": 0.9, ""source"": ""llm_analysis""}",Peter's cousin Benjamin Bunny convinces him to return to Mr. McGregor's garden to find his lost clothes.,"friendship, adventure, mischievousness",whimsical,3-5,Early Readers (3-5),"{""vocabulary"": ""simple"", ""sentence_structure"": ""simple"", ""concepts"": ""concrete""}",0.9,,,,not_found,none,comprehensive_search,,False,2025-09-09T22:53:06.308275
"The Story of Doctor Dolittle (Doctor Dolittle, #1)",Hugh Lofting,https://www.goodreads.com/book/show/325421.The_Story_of_Doctor_Dolittle,The Story of Doctor Dolittle,Hugh Lofting,https://covers.openlibrary.org/b/id/5262289-L.jpg,https://openlibrary.org/works/OL1449046W,"There are some of us now reaching middle age who discover themselves to be lamenting the past in one respect if in none other, that there are no books written now for children comparable with those of thirty years ago.  I say written FOR children because the new psychological business of writing ABOUT them as though they were small pills or hatched in some especially scientific method is extremely popular today.","The Story Of Doctor Dolittle (Doctor Dolittle, #1)",Hugh Lofting,"{""llm_analysis"": {""age_range"": ""6-8"", ""reading_category"": ""Beginning Readers (6-8)"", ""confidence"": 0.9, ""source"": ""gpt_analysis_fix""}}",True,"{""age_range"": ""6-8"", ""reading_category"": ""Beginning Readers (6-8)"", ""confidence"": 0.9, ""source"": ""llm_analysis""}","""The Story of Doctor Dolittle"" is a classic children's book that follows the adventures of a doctor who can talk to animals. The book is written in a whimsical and imaginative style that will captivate young readers. It offers a fun and entertaining story that will spark the imagination of children.","friendship, adventure, emotions",playful,6-8,Beginning Readers (6-8),"{""vocabulary"": ""simple"", ""sentence_structure"": ""simple"", ""concepts"": ""concrete""}",0.8,False,,,not_found,none,comprehensive_search,,False,2025-09-09T22:53:07.305380
Amos & Boris,William Steig,https://www.goodreads.com/book/show/150683.Amos_Boris,Amos & Boris,William Steig,https://covers.openlibrary.org/b/id/6302133-L.jpg,https://openlibrary.org/works/OL22321W,"Befriended by a whale as he is drowning in the ocean, a mouse gets a chance to reciprocate years later in an equally unlikely situation.",Amos & Boris,William Steig,"{""llm_analysis"": {""age_range"": ""6-8"", ""reading_category"": ""Beginning Readers (6-8)"", ""confidence"": 0.9, ""source"": ""gpt_analysis""}}",True,"{""age_range"": ""6-8"", ""reading_category"": ""Beginning Readers (6-8)"", ""confidence"": 0.9, ""source"": ""llm_analysis""}","A mouse and a whale form an unlikely friendship when the mouse is saved from drowning . Years later, the mouse gets a chance to repay the favor in a surprising turn of events.","friendship, loyalty, kindness",heartwarming,6-8,Beginning Readers (6-8),"{""vocabulary"": ""simple"", ""sentence_structure"": ""simple"", ""concepts"": ""concrete""}",0.9,,,,not_found,none,comprehensive_search,,False,2025-09-09T22:53:08.353731
