author_book_count,author_avg_lexile,author_lexile_consistency,is_prolific_author,is_specialist_author,title_length,title_word_count,title_has_numbers,description_length,description_word_count,has_substantial_description,theme_count,has_friendship_theme,has_adventure_theme,has_family_theme,has_imagination_theme,has_magic_theme,has_humor_theme,has_complex_themes,reading_confidence_llm,lexile_confidence,avg_confidence,high_confidence,data_completeness_score,author_primary_category_encoded
3,450.0,0.0,0,1,15,2,0,560,88,1,4,1,0,0,0,0,0,0,0.8,0.8,0.8,1,1.0,1
3,175.0,0.0,0,1,28,7,0,130,25,1,3,0,0,0,0,0,0,0,1.0,0.8,0.9,1,1.0,2
10,217.5,128.58741082323036,1,0,16,3,0,1167,200,1,3,0,0,0,0,0,0,0,0.9,0.8,0.8500000000000001,1,1.0,2
2,175.0,0.0,0,1,8,1,0,146,30,1,3,1,0,0,0,0,0,0,1.0,0.8,0.9,1,1.0,2
2,175.0,0.0,0,1,8,1,0,135,24,1,3,1,0,0,0,0,0,1,0.9,0.8,0.8500000000000001,1,1.0,2
1,175.0,0.0,0,1,20,3,0,1279,224,1,4,1,0,0,0,0,0,1,0.9,0.6,0.75,0,1.0,4
1,175.0,0.0,0,1,35,8,0,340,65,1,3,1,0,0,1,0,0,0,0.9,0.8,0.8500000000000001,1,1.0,2
4,243.75,137.5,0,0,23,4,0,104,17,1,3,0,0,0,0,0,0,0,1.0,0.8,0.9,1,1.0,2
4,243.75,137.5,0,0,40,8,0,93,17,0,3,0,0,0,0,0,0,0,1.0,0.8,0.9,1,1.0,2
2,450.0,0.0,0,1,59,10,0,118,22,1,3,0,0,0,0,0,0,0,0.9,0.8,0.8500000000000001,1,1.0,1
1,175.0,0.0,0,1,41,7,1,237,43,1,3,0,0,0,1,0,0,0,1.0,0.8,0.9,1,1.0,2
10,175.0,0.0,1,1,54,10,1,142,26,1,3,0,1,0,0,0,0,0,0.8,0.8,0.8,1,1.0,2
2,175.0,0.0,0,1,73,13,1,179,30,1,3,0,0,0,0,0,0,0,0.9,0.8,0.8500000000000001,1,1.0,2
3,750.0,0.0,0,1,17,3,0,152,27,1,4,1,0,0,0,0,0,0,0.9,0.6,0.75,0,1.0,3
1,450.0,0.0,0,1,60,8,0,961,139,1,3,0,1,0,1,0,0,0,0.9,0.8,0.8500000000000001,1,1.0,1
10,750.0,0.0,1,1,57,9,1,1580,261,1,4,0,0,0,0,1,0,0,0.9,0.6,0.75,0,1.0,3
10,720.0,94.86832980505137,1,0,47,9,1,205,34,1,4,1,0,0,1,0,0,1,0.9,0.6,0.75,0,1.0,3
1,450.0,0.0,0,1,36,5,1,119,18,1,3,0,0,0,0,0,1,0,0.9,0.8,0.8500000000000001,1,1.0,1
5,450.0,0.0,1,1,51,9,0,811,130,1,3,0,0,0,0,0,1,0,0.9,0.8,0.8500000000000001,1,1.0,1
3,175.0,0.0,0,1,10,1,0,710,117,1,4,1,0,1,0,0,0,1,0.9,0.8,0.8500000000000001,1,1.0,2
1,175.0,0.0,0,1,21,4,0,83,17,0,3,0,0,0,0,0,0,0,0.9,0.8,0.8500000000000001,1,1.0,2
1,175.0,0.0,0,1,16,3,0,103,17,1,3,1,0,0,0,0,0,0,1.0,0.8,0.9,1,1.0,2
4,243.75,137.5,0,0,22,4,0,290,42,1,3,0,1,1,0,0,0,0,1.0,0.8,0.9,1,1.0,2
5,850.0,136.93063937629154,1,0,36,7,1,435,77,1,3,0,1,1,0,0,0,0,0.9,0.6,0.75,0,1.0,3
14,175.0,0.0,1,1,35,7,0,193,38,1,3,0,0,0,1,0,0,0,0.9,0.8,0.8500000000000001,1,1.0,2
1,750.0,0.0,0,1,21,3,0,856,144,1,3,1,1,0,0,0,0,0,0.9,0.6,0.75,0,1.0,3
6,650.0,154.91933384829667,1,0,48,9,1,791,142,1,4,0,0,1,0,0,0,0,0.9,0.8,0.8500000000000001,1,1.0,3
3,450.0,0.0,0,1,35,7,1,422,74,1,3,1,1,0,0,0,0,1,0.9,0.8,0.8500000000000001,1,1.0,1
4,750.0,0.0,0,1,25,5,1,207,38,1,3,0,0,0,0,0,0,1,0.9,0.6,0.75,0,1.0,3
1,175.0,0.0,0,1,22,4,0,83,16,0,3,0,0,0,0,0,0,1,0.9,0.8,0.8500000000000001,1,1.0,2
1,175.0,0.0,0,1,26,4,0,59,9,0,3,0,0,0,0,1,0,0,0.8,0.4,0.6000000000000001,0,1.0,4
2,750.0,0.0,0,1,20,3,0,197,32,1,4,1,0,0,1,0,0,0,0.9,0.6,0.75,0,1.0,3
4,243.75,137.5,0,0,19,3,0,58,8,0,3,0,0,0,0,0,0,0,0.9,0.8,0.8500000000000001,1,1.0,2
1,175.0,0.0,0,1,24,5,0,115,21,1,3,1,0,0,0,0,0,0,1.0,0.8,0.9,1,1.0,2
10,750.0,0.0,1,1,63,11,1,995,138,1,4,0,1,0,0,0,0,0,0.9,0.6,0.75,0,1.0,3
2,175.0,0.0,0,1,25,5,1,655,117,1,4,1,0,0,1,0,0,0,0.9,0.8,0.8500000000000001,1,1.0,2
10,217.5,128.58741082323036,1,0,22,4,0,231,42,1,3,0,0,0,0,0,0,0,0.9,0.8,0.8500000000000001,1,1.0,2
1,175.0,0.0,0,1,17,3,0,163,34,1,3,0,0,0,0,0,0,0,0.9,0.6,0.75,0,1.0,4
5,230.0,122.98373876248843,1,0,44,7,0,139,23,1,3,0,0,0,0,0,0,1,0.9,0.8,0.8500000000000001,1,1.0,2
6,175.0,0.0,1,1,13,1,0,101,18,1,3,0,0,0,0,0,0,1,0.9,0.8,0.8500000000000001,1,1.0,2
3,358.3333333333333,158.77132402714707,0,0,41,7,1,130,23,1,3,1,0,0,0,0,0,0,0.9,0.8,0.8500000000000001,1,1.0,1
4,175.0,0.0,0,1,33,6,0,151,28,1,3,0,0,0,0,0,0,0,0.9,0.8,0.8500000000000001,1,1.0,2
2,750.0,0.0,0,1,52,9,0,214,38,1,3,0,1,0,0,0,0,1,0.9,0.6,0.75,0,1.0,3
2,600.0,212.13203435596427,0,0,59,11,1,976,169,1,4,1,0,0,0,0,0,0,0.9,0.6,0.75,0,1.0,3
2,750.0,0.0,0,1,28,5,0,617,108,1,4,1,1,0,0,0,0,0,0.9,0.6,0.75,0,1.0,3
2,175.0,0.0,0,1,19,3,1,142,28,1,3,0,0,1,1,0,0,0,0.9,0.8,0.8500000000000001,1,1.0,2
5,570.0,164.31676725154983,1,0,57,8,1,159,24,1,3,1,0,0,0,0,1,0,0.9,0.8,0.8500000000000001,1,1.0,1
3,175.0,0.0,0,1,16,3,0,98,18,0,3,0,0,0,0,0,0,0,0.9,0.8,0.8500000000000001,1,1.0,2
1,175.0,0.0,0,1,19,4,0,137,27,1,3,0,1,1,0,0,0,1,0.9,0.8,0.8500000000000001,1,1.0,2
9,750.0,0.0,1,1,59,10,1,642,95,1,4,1,0,0,0,1,0,1,0.9,0.6,0.75,0,1.0,3
2,312.5,194.45436482630058,0,0,10,2,0,437,73,1,3,0,0,0,0,0,0,0,0.9,0.8,0.8500000000000001,1,1.0,1
9,750.0,0.0,1,1,58,10,1,506,67,1,4,1,0,0,0,1,0,1,0.9,0.6,0.75,0,1.0,3
1,450.0,0.0,0,1,9,2,0,512,83,1,3,1,1,0,1,0,0,0,0.9,0.8,0.8500000000000001,1,1.0,1
9,750.0,0.0,1,1,55,9,1,789,110,1,4,1,0,0,0,0,0,1,0.9,0.6,0.75,0,1.0,3
9,750.0,0.0,1,1,54,10,1,605,88,1,4,1,0,0,0,0,0,1,0.9,0.6,0.75,0,1.0,3
3,750.0,0.0,0,1,17,3,0,725,124,1,4,1,0,0,0,0,0,0,0.9,0.6,0.75,0,1.0,3
1,450.0,0.0,0,1,35,5,1,70,10,0,3,0,0,0,0,0,0,1,0.9,0.8,0.8500000000000001,1,1.0,1
4,450.0,0.0,0,1,43,6,1,281,51,1,3,1,0,0,1,0,0,0,0.9,0.8,0.8500000000000001,1,1.0,1
6,175.0,0.0,1,1,28,4,0,181,32,1,4,0,0,0,0,0,0,0,0.9,0.8,0.8500000000000001,1,1.0,2
5,570.0,164.31676725154983,1,0,17,3,1,691,118,1,4,1,0,0,0,0,0,0,0.9,0.6,0.75,0,1.0,1
2,175.0,0.0,0,1,10,2,0,75,12,0,3,1,0,0,0,0,0,0,1.0,0.8,0.9,1,1.0,2
9,750.0,0.0,1,1,60,11,1,917,108,1,4,1,0,0,0,0,0,1,0.9,0.6,0.75,0,1.0,3
