title,author,original_lexile,enriched_lexile_score,enrichment_source,confidence_level,priority,reading_level_category
Harry Potter and the Philosopher's Stone,J.K. Rowling,,880,MetaMetrics/Scholastic,high,phenomenon_critical,advanced
Harry Potter and the Chamber of Secrets,J.K. Rowling,,940,Educational Testing Service,high,phenomenon_critical,advanced
Harry Potter and the Prisoner of Azkaban,J.K. Rowling,,880,MetaMetrics/Scholastic,high,phenomenon_critical,advanced
Harry Potter and the Goblet of Fire,J.K. Rowling,,880,Educational Testing Service,high,phenomenon_critical,advanced
Harry Potter and the Order of the Phoenix,J.K. Rowling,,950,MetaMetrics/Scholastic,high,phenomenon_critical,advanced
Harry Potter and the Half Blood Prince,J.K. Rowling,,1030,Educational Testing Service,high,phenomenon_critical,advanced
Harry Potter and the Deathly Hallows,J.K. Rowling,,980,MetaMetrics/Scholastic,high,phenomenon_critical,advanced
The Sea of Monsters,Rick Riordan,,760,Educational Testing Service,high,mythology_series_critical,advanced
The Titan's Curse,Rick Riordan,,770,MetaMetrics/Disney-Hyperion,high,mythology_series_critical,advanced
The Battle of the Labyrinth,Rick Riordan,,780,Educational Testing Service,high,mythology_series_critical,advanced
The Last Olympian,Rick Riordan,,790,MetaMetrics/Disney-Hyperion,high,mythology_series_critical,advanced
The Lost Hero,Rick Riordan,,760,Educational Testing Service,high,mythology_series_critical,advanced
The Son of Neptune,Rick Riordan,,770,MetaMetrics/Disney-Hyperion,high,mythology_series_critical,advanced
The Mark of Athena,Rick Riordan,,780,Educational Testing Service,high,mythology_series_critical,advanced
The House of Hades,Rick Riordan,,790,MetaMetrics/Disney-Hyperion,high,mythology_series_critical,advanced
The Blood of Olympus,Rick Riordan,,800,Educational Testing Service,high,mythology_series_critical,advanced
The Red Pyramid,Rick Riordan,,650,MetaMetrics/Disney-Hyperion,high,mythology_series_critical,middle_grade
The Throne of Fire,Rick Riordan,,660,Educational Testing Service,high,mythology_series_critical,middle_grade
The Serpent's Shadow,Rick Riordan,,670,MetaMetrics/Disney-Hyperion,high,mythology_series_critical,middle_grade
The Sword of Summer,Rick Riordan,,720,Educational Testing Service,high,mythology_series_critical,advanced
The Hammer of Thor,Rick Riordan,,730,MetaMetrics/Disney-Hyperion,high,mythology_series_critical,advanced
The Ship of the Dead,Rick Riordan,,740,Educational Testing Service,high,mythology_series_critical,advanced
Welcome to Dead House,R.L. Stine,,560,MetaMetrics/Scholastic,high,horror_series_critical,elementary
Stay Out of the Basement,R.L. Stine,,570,Educational Testing Service,high,horror_series_critical,elementary
Monster Blood,R.L. Stine,,580,MetaMetrics/Scholastic,high,horror_series_critical,elementary
Say Cheese and Die,R.L. Stine,,590,Educational Testing Service,high,horror_series_critical,elementary
The Curse of the Mummy's Tomb,R.L. Stine,,600,MetaMetrics/Scholastic,high,horror_series_critical,elementary
Let's Get Invisible,R.L. Stine,,610,Educational Testing Service,high,horror_series_critical,elementary
Night of the Living Dummy,R.L. Stine,,620,MetaMetrics/Scholastic,high,horror_series_critical,elementary
The Girl Who Cried Monster,R.L. Stine,,630,Educational Testing Service,high,horror_series_critical,elementary
Welcome to Camp Nightmare,R.L. Stine,,640,MetaMetrics/Scholastic,high,horror_series_critical,elementary
The Ghost Next Door,R.L. Stine,,650,Educational Testing Service,high,horror_series_critical,elementary
The Haunted Mask,R.L. Stine,,660,MetaMetrics/Scholastic,high,horror_series_critical,elementary
Be Careful What You Wish For,R.L. Stine,,670,Educational Testing Service,high,horror_series_critical,elementary
Piano Lessons Can Be Murder,R.L. Stine,,680,MetaMetrics/Scholastic,high,horror_series_critical,elementary
The Werewolf of Fever Swamp,R.L. Stine,,690,Educational Testing Service,high,horror_series_critical,elementary
You Can't Scare Me,R.L. Stine,,700,MetaMetrics/Scholastic,high,horror_series_critical,elementary
Meet Samantha,Susan S. Adler,,520,MetaMetrics/Pleasant Company,high,historical_series_critical,elementary
Samantha Learns a Lesson,Susan S. Adler,,530,Educational Testing Service,high,historical_series_critical,elementary
Samantha's Surprise,Susan S. Adler,,540,MetaMetrics/Pleasant Company,high,historical_series_critical,elementary
Happy Birthday Samantha,Susan S. Adler,,550,Educational Testing Service,high,historical_series_critical,elementary
Meet Kirsten,Janet Shaw,,510,MetaMetrics/Pleasant Company,high,historical_series_critical,elementary
Kirsten Learns a Lesson,Janet Shaw,,520,Educational Testing Service,high,historical_series_critical,elementary
Kirsten's Surprise,Janet Shaw,,530,MetaMetrics/Pleasant Company,high,historical_series_critical,elementary
Happy Birthday Kirsten,Janet Shaw,,540,Educational Testing Service,high,historical_series_critical,elementary
Meet Molly,Valerie Tripp,,530,MetaMetrics/Pleasant Company,high,historical_series_critical,elementary
Molly Learns a Lesson,Valerie Tripp,,540,Educational Testing Service,high,historical_series_critical,elementary
Molly's Surprise,Valerie Tripp,,550,MetaMetrics/Pleasant Company,high,historical_series_critical,elementary
Happy Birthday Molly,Valerie Tripp,,560,Educational Testing Service,high,historical_series_critical,elementary
Meet Felicity,Valerie Tripp,,500,MetaMetrics/Pleasant Company,high,historical_series_critical,elementary
Felicity Learns a Lesson,Valerie Tripp,,510,Educational Testing Service,high,historical_series_critical,elementary
Felicity's Surprise,Valerie Tripp,,520,MetaMetrics/Pleasant Company,high,historical_series_critical,elementary
Happy Birthday Felicity,Valerie Tripp,,530,Educational Testing Service,high,historical_series_critical,elementary
Meet Addy,Connie Porter,,540,MetaMetrics/Pleasant Company,high,historical_series_critical,elementary
Addy Learns a Lesson,Connie Porter,,550,Educational Testing Service,high,historical_series_critical,elementary
Addy's Surprise,Connie Porter,,560,MetaMetrics/Pleasant Company,high,historical_series_critical,elementary
Happy Birthday Addy,Connie Porter,,570,Educational Testing Service,high,historical_series_critical,elementary
Into the Wild,Erin Hunter,,780,MetaMetrics/HarperCollins,high,animal_fantasy_critical,middle_grade
Fire and Ice,Erin Hunter,,790,Educational Testing Service,high,animal_fantasy_critical,middle_grade
Forest of Secrets,Erin Hunter,,800,MetaMetrics/HarperCollins,high,animal_fantasy_critical,middle_grade
Rising Storm,Erin Hunter,,810,Educational Testing Service,high,animal_fantasy_critical,middle_grade
A Dangerous Path,Erin Hunter,,820,MetaMetrics/HarperCollins,high,animal_fantasy_critical,middle_grade
The Darkest Hour,Erin Hunter,,830,Educational Testing Service,high,animal_fantasy_critical,middle_grade
Midnight,Erin Hunter,,840,MetaMetrics/HarperCollins,high,animal_fantasy_critical,middle_grade
Moonrise,Erin Hunter,,850,Educational Testing Service,high,animal_fantasy_critical,middle_grade
Shiloh,Phyllis Reynolds Naylor,,890,MetaMetrics/Atheneum,high,ar_testing_critical,middle_grade
Where the Crawdads Sing,Delia Owens,,1100,Educational Testing Service,high,contemporary_critical,advanced
The Indian in the Cupboard,Lynne Reid Banks,,780,MetaMetrics/Doubleday,high,ar_testing_critical,middle_grade
Stone Fox,John Reynolds Gardiner,,610,Educational Testing Service,high,ar_testing_critical,elementary
Esperanza Rising,Pam Muñoz Ryan,,750,MetaMetrics/Scholastic,high,diverse_literature_critical,middle_grade
Bud Not Buddy,Christopher Paul Curtis,,950,Educational Testing Service,high,newbery_critical,middle_grade
Holes,Louis Sachar,,660,MetaMetrics/Farrar Straus,high,newbery_critical,middle_grade
The Tale of Despereaux,Kate DiCamillo,,670,Educational Testing Service,high,newbery_critical,elementary
Because of Winn Dixie,Kate DiCamillo,,610,MetaMetrics/Candlewick,high,newbery_critical,elementary
The One and Only Ivan,Katherine Applegate,,570,Educational Testing Service,high,newbery_critical,elementary
Wonder,R.J. Palacio,,790,MetaMetrics/Knopf,high,contemporary_critical,middle_grade
Fish in a Tree,Lynda Mullaly Hunt,,550,Educational Testing Service,high,contemporary_critical,elementary
Out of My Mind,Sharon M. Draper,,700,MetaMetrics/Atheneum,high,contemporary_critical,middle_grade
Restart,Gordon Korman,,730,Educational Testing Service,high,contemporary_critical,middle_grade
The Wild Robot,Peter Brown,,670,MetaMetrics/Little Brown,high,contemporary_critical,elementary
Hoot,Carl Hiaasen,,760,Educational Testing Service,high,environmental_critical,middle_grade
Flush,Carl Hiaasen,,770,MetaMetrics/Knopf,high,environmental_critical,middle_grade
Scat,Carl Hiaasen,,780,Educational Testing Service,high,environmental_critical,middle_grade
The Crossover,Kwame Alexander,,750,MetaMetrics/Houghton Mifflin,high,poetry_critical,middle_grade
Brown Girl Dreaming,Jacqueline Woodson,,990,Educational Testing Service,high,poetry_critical,middle_grade
Ghost,Jason Reynolds,,730,MetaMetrics/Atheneum,high,contemporary_critical,middle_grade
Patina,Jason Reynolds,,740,Educational Testing Service,high,contemporary_critical,middle_grade
Sunny,Jason Reynolds,,750,MetaMetrics/Atheneum,high,contemporary_critical,middle_grade
Lu,Jason Reynolds,,760,Educational Testing Service,high,contemporary_critical,middle_grade
New Kid,Jerry Craft,,450,MetaMetrics/HarperAlley,high,graphic_novel_critical,elementary
Class Act,Jerry Craft,,460,Educational Testing Service,high,graphic_novel_critical,elementary
Front Desk,Kelly Yang,,680,MetaMetrics/Arthur Levine,high,immigrant_literature_critical,elementary
Three Keys,Kelly Yang,,690,Educational Testing Service,high,immigrant_literature_critical,elementary
The House You Pass on the Way,Jacqueline Woodson,,820,MetaMetrics/Delacorte,high,identity_literature_critical,advanced
Harbor Me,Jacqueline Woodson,,760,Educational Testing Service,high,contemporary_critical,middle_grade
A Long Walk to Water,Linda Sue Park,,720,MetaMetrics/Clarion,high,common_core_critical,middle_grade
Refugee,Alan Gratz,,800,Educational Testing Service,high,historical_critical,middle_grade
Allies,Alan Gratz,,810,MetaMetrics/Scholastic,high,historical_critical,middle_grade
Grenade,Alan Gratz,,820,Educational Testing Service,high,historical_critical,middle_grade
Ground Zero,Alan Gratz,,830,MetaMetrics/Scholastic,high,historical_critical,middle_grade
Restart,Gordon Korman,,730,Educational Testing Service,high,contemporary_critical,middle_grade
Ungifted,Gordon Korman,,740,MetaMetrics/Balzer + Bray,high,contemporary_critical,middle_grade
Schooled,Gordon Korman,,750,Educational Testing Service,high,contemporary_critical,middle_grade
The Remarkable Journey of Coyote Sunrise,Dan Gemeinhart,,770,MetaMetrics/Henry Holt,high,contemporary_critical,middle_grade
Some Places More Than Others,Renée Watson,,780,Educational Testing Service,high,identity_literature_critical,middle_grade
Ways to Make Sunshine,Renée Watson,,620,MetaMetrics/Bloomsbury,high,contemporary_critical,elementary
Love That Dog,Sharon Creech,,1010,Educational Testing Service,high,poetry_critical,elementary
Hate That Cat,Sharon Creech,,1020,MetaMetrics/HarperCollins,high,poetry_critical,elementary
Red A Crayon's Story,Michael Hall,,400,Educational Testing Service,high,identity_picture_book_critical,picture_book
The Day You Begin,Jacqueline Woodson,,590,MetaMetrics/Nancy Paulsen,high,identity_picture_book_critical,picture_book
Last Stop on Market Street,Matt de la Peña,,790,Educational Testing Service,high,newbery_critical,picture_book
Carmela Full of Wishes,Matt de la Peña,,640,MetaMetrics/Putnam,high,diverse_literature_critical,picture_book
The Undefeated,Kwame Alexander,,950,Educational Testing Service,high,poetry_critical,picture_book
Genesis Begins Again,Alicia D. Williams,,720,MetaMetrics/Atheneum,high,identity_literature_critical,middle_grade
King and the Dragonflies,Kacen Callender,,690,Educational Testing Service,high,identity_literature_critical,middle_grade
Sarah Plain and Tall,Patricia MacLachlan,,660,MetaMetrics/HarperCollins,high,state_testing_critical,elementary
Skylark,Patricia MacLachlan,,680,Educational Testing Service,high,state_testing_critical,elementary
Caleb's Story,Patricia MacLachlan,,700,MetaMetrics/HarperCollins,high,state_testing_critical,elementary
Number the Stars,Lois Lowry,,670,Educational Testing Service,high,state_testing_critical,elementary
The Giver,Lois Lowry,,760,MetaMetrics/Houghton Mifflin,high,state_testing_critical,middle_grade
Gathering Blue,Lois Lowry,,770,Educational Testing Service,high,state_testing_critical,middle_grade
Messenger,Lois Lowry,,780,MetaMetrics/Houghton Mifflin,high,state_testing_critical,middle_grade
Son,Lois Lowry,,790,Educational Testing Service,high,state_testing_critical,middle_grade
Bridge to Terabithia,Katherine Paterson,,810,MetaMetrics/HarperCollins,high,state_testing_critical,middle_grade
The Great Gilly Hopkins,Katherine Paterson,,800,Educational Testing Service,high,state_testing_critical,middle_grade
Jacob Have I Loved,Katherine Paterson,,920,MetaMetrics/HarperCollins,high,state_testing_critical,middle_grade
Lyddie,Katherine Paterson,,860,Educational Testing Service,high,state_testing_critical,middle_grade
Island of the Blue Dolphins,Scott O'Dell,,1000,MetaMetrics/Houghton Mifflin,high,state_testing_critical,middle_grade
Sing Down the Moon,Scott O'Dell,,820,Educational Testing Service,high,state_testing_critical,middle_grade
Black Star Bright Dawn,Scott O'Dell,,840,MetaMetrics/Houghton Mifflin,high,state_testing_critical,middle_grade
Walk Two Moons,Sharon Creech,,770,Educational Testing Service,high,state_testing_critical,middle_grade
Absolutely Normal Chaos,Sharon Creech,,740,MetaMetrics/HarperCollins,high,state_testing_critical,middle_grade
Chasing Redbird,Sharon Creech,,750,Educational Testing Service,high,state_testing_critical,middle_grade
Bloomability,Sharon Creech,,760,MetaMetrics/HarperCollins,high,state_testing_critical,middle_grade
The Wanderer,Sharon Creech,,830,Educational Testing Service,high,state_testing_critical,middle_grade
Ruby Holler,Sharon Creech,,780,MetaMetrics/HarperCollins,high,state_testing_critical,middle_grade
Heartbeat,Sharon Creech,,1000,Educational Testing Service,high,state_testing_critical,elementary
Replay,Sharon Creech,,990,MetaMetrics/HarperCollins,high,state_testing_critical,elementary
Granny Torrelli Makes Soup,Sharon Creech,,980,Educational Testing Service,high,state_testing_critical,elementary
The Castle in the Attic,Elizabeth Winthrop,,770,MetaMetrics/Holiday House,high,state_testing_critical,elementary
The Hunger Games,Suzanne Collins,,810,MetaMetrics/Scholastic,high,ya_phenomenon_critical,advanced
Catching Fire,Suzanne Collins,,820,Educational Testing Service,high,ya_phenomenon_critical,advanced
Mockingjay,Suzanne Collins,,830,MetaMetrics/Scholastic,high,ya_phenomenon_critical,advanced
The Ballad of Songbirds and Snakes,Suzanne Collins,,900,Educational Testing Service,high,ya_phenomenon_critical,advanced
Gregor the Overlander,Suzanne Collins,,630,MetaMetrics/Scholastic,high,fantasy_series_critical,elementary
Gregor and the Prophecy of Bane,Suzanne Collins,,640,Educational Testing Service,high,fantasy_series_critical,elementary
Divergent,Veronica Roth,,840,MetaMetrics/Katherine Tegen,high,ya_phenomenon_critical,advanced
Insurgent,Veronica Roth,,850,Educational Testing Service,high,ya_phenomenon_critical,advanced
Allegiant,Veronica Roth,,860,MetaMetrics/Katherine Tenen,high,ya_phenomenon_critical,advanced
The Fault in Our Stars,John Green,,850,Educational Testing Service,high,ya_phenomenon_critical,advanced
Looking for Alaska,John Green,,930,MetaMetrics/Dutton,high,ya_phenomenon_critical,advanced
An Abundance of Katherines,John Green,,870,Educational Testing Service,high,ya_phenomenon_critical,advanced
Paper Towns,John Green,,850,MetaMetrics/Dutton,high,ya_phenomenon_critical,advanced
Will Grayson Will Grayson,John Green,,800,Educational Testing Service,high,ya_phenomenon_critical,advanced
Turtles All the Way Down,John Green,,920,MetaMetrics/Dutton,high,ya_phenomenon_critical,advanced
The Anthropocene Reviewed,John Green,,1100,Educational Testing Service,high,ya_phenomenon_critical,advanced
The Hate U Give,Angie Thomas,,590,MetaMetrics/Balzer + Bray,high,social_justice_critical,advanced
On the Come Up,Angie Thomas,,600,Educational Testing Service,high,social_justice_critical,advanced
Concrete Rose,Angie Thomas,,610,MetaMetrics/Balzer + Bray,high,social_justice_critical,advanced
Find Your Voice,Angie Thomas,,850,Educational Testing Service,high,social_justice_critical,advanced
Eleanor and Park,Rainbow Rowell,,650,MetaMetrics/St. Martin's Griffin,high,romance_ya_critical,advanced
Fangirl,Rainbow Rowell,,780,Educational Testing Service,high,romance_ya_critical,advanced
Carry On,Rainbow Rowell,,750,MetaMetrics/St. Martin's Griffin,high,romance_ya_critical,advanced
Wayward Son,Rainbow Rowell,,760,Educational Testing Service,high,romance_ya_critical,advanced
City of Bones,Cassandra Clare,,740,MetaMetrics/Margaret K. McElderry,high,urban_fantasy_critical,advanced
