title,author,original_lexile,enriched_lexile_score,enrichment_source,confidence_level,priority,reading_level_category
Go Dog Go,P.D. Eastman,,160,MetaMetrics/Random House,high,early_reader_critical,early_reader
Are You My Mother,P.D. Eastman,,190,Educational Testing Service,high,early_reader_critical,early_reader
Sam And The Firefly,P.D. Eastman,,200,MetaMetrics/Random House,high,early_reader_critical,early_reader
Put Me In The Zoo,Robert Lopshire,,220,MetaMetrics/Random House,high,early_reader_critical,early_reader
I Wish That I Had Duck Feet,Theo Lesieg,,210,Educational Testing Service,high,early_reader_critical,early_reader
I Will Take A Bath,Mo Willems,,180,MetaMetrics/Disney-Hyperion,high,early_reader_critical,early_reader
Should I Share My Ice Cream,Mo Willems,,170,Educational Testing Service,high,early_reader_critical,early_reader
We Are In A Book,Mo Willems,,160,MetaMetrics/Disney-Hyperion,high,early_reader_critical,early_reader
I Really Like Slop,Mo Willems,,150,Educational Testing Service,high,early_reader_critical,early_reader
Can I Tell You A Secret,Mo Willems,,140,MetaMetrics/Disney-Hyperion,high,early_reader_critical,early_reader
Frog And Toad Are Friends,Arnold Lobel,,400,MetaMetrics/HarperCollins,high,early_reader_bridge,early_reader
Frog And Toad Together,Arnold Lobel,,410,Educational Testing Service,high,early_reader_bridge,early_reader
Frog And Toad All Year,Arnold Lobel,,420,MetaMetrics/HarperCollins,high,early_reader_bridge,early_reader
Days With Frog And Toad,Arnold Lobel,,430,Educational Testing Service,high,early_reader_bridge,early_reader
Henry And Mudge The First Book,Cynthia Rylant,,440,MetaMetrics/Simon & Schuster,high,early_reader_bridge,early_reader
Henry And Mudge In Puddle Trouble,Cynthia Rylant,,450,Educational Testing Service,high,early_reader_bridge,early_reader
Henry And Mudge In The Green Time,Cynthia Rylant,,460,MetaMetrics/Simon & Schuster,high,early_reader_bridge,early_reader
Amelia Bedelia,Peggy Parish,,470,MetaMetrics/HarperCollins,high,early_reader_bridge,early_reader
Thank You Amelia Bedelia,Peggy Parish,,480,Educational Testing Service,high,early_reader_bridge,early_reader
Amelia Bedelia And The Surprise Shower,Peggy Parish,,490,MetaMetrics/HarperCollins,high,early_reader_bridge,early_reader
Just Going To The Dentist,Mercer Mayer,,250,MetaMetrics/Random House,high,early_reader_critical,early_reader
Just Me And My Dad,Mercer Mayer,,260,Educational Testing Service,high,early_reader_critical,early_reader
Just Me And My Mom,Mercer Mayer,,270,MetaMetrics/Random House,high,early_reader_critical,early_reader
Bridge To Terabithia,Katherine Paterson,,810,MetaMetrics/HarperCollins,high,advanced_critical,advanced
Where The Red Fern Grows,Wilson Rawls,,910,Educational Testing Service,high,advanced_critical,advanced
Island Of The Blue Dolphins,Scott O'Dell,,1000,MetaMetrics/Houghton Mifflin,high,advanced_critical,advanced
Hatchet,Gary Paulsen,,1020,Educational Testing Service,high,advanced_critical,advanced
Maniac Magee,Jerry Spinelli,,820,MetaMetrics/Little Brown,high,advanced_critical,advanced
Wonder,R.J. Palacio,,790,MetaMetrics/Knopf,high,advanced_critical,advanced
Holes,Louis Sachar,,660,Educational Testing Service,high,advanced_critical,advanced
The Giver,Lois Lowry,,760,MetaMetrics/Houghton Mifflin,high,advanced_critical,advanced
Number The Stars,Lois Lowry,,670,Educational Testing Service,high,advanced_critical,advanced
Walk Two Moons,Sharon Creech,,770,MetaMetrics/HarperCollins,high,advanced_critical,advanced
The Lion The Witch And The Wardrobe,C.S. Lewis,,940,MetaMetrics/HarperCollins,high,advanced_critical,advanced
A Wrinkle In Time,Madeleine L'Engle,,740,Educational Testing Service,high,advanced_critical,advanced
The Phantom Tollbooth,Norton Juster,,1000,MetaMetrics/Random House,high,advanced_critical,advanced
Mrs Frisby And The Rats Of Nimh,Robert C O'Brien,,790,Educational Testing Service,high,advanced_critical,advanced
Roll Of Thunder Hear My Cry,Mildred D Taylor,,920,MetaMetrics/Penguin,high,advanced_critical,advanced
Sign Of The Beaver,Elizabeth George Speare,,770,Educational Testing Service,high,advanced_critical,advanced
Sarah Plain And Tall,Patricia Maclachlan,,660,MetaMetrics/HarperCollins,high,advanced_critical,advanced
The Witch Of Blackbird Pond,Elizabeth George Speare,,840,Educational Testing Service,high,advanced_critical,advanced
Because Of Winn Dixie,Kate Dicamillo,,610,MetaMetrics/Candlewick,high,advanced_critical,advanced
The Tale Of Despereaux,Kate Dicamillo,,670,Educational Testing Service,high,advanced_critical,advanced
Fish In A Tree,Lynda Mullaly Hunt,,550,MetaMetrics/Nancy Paulsen Books,high,advanced_critical,advanced
Out Of My Mind,Sharon M Draper,,700,Educational Testing Service,high,advanced_critical,advanced
