title,author,original_lexile_score,enriched_lexile_score,enrichment_source,confidence_level,expansion_phase,original_lexile,priority,reading_level_category
Love You Forever,Robert Munsch,,520.0,MetaMetrics/Firefly Books,high,previous,,,
Corduroy,Don Freeman,,410.0,MetaMetrics/Viking,high,previous,,,
Madeline,Ludwig Bemelmans,,570.0,MetaMetrics/Viking,high,previous,,,
Chicka Chicka Boom Boom,Bill Martin Jr.,,200.0,Educational Testing Service,high,previous,,,
"Brown Bear, Brown Bear, What Do You See?",Bill Martin Jr.,,190.0,MetaMetrics/Henry Holt,high,previous,,,
"The Chronicles of Narnia (The Chronicles of Narnia, #1-7)",C.S. Lewis,,960.0,MetaMetrics/HarperCollins,high,previous,,,
"Anne of Green Gables (Anne of Green Gables, #1)",L.M. Montgomery,,990.0,MetaMetrics/Bantam,high,previous,,,
The Stinky Cheese Man and Other Fairly Stupid Tales,Jon Scieszka,,630.0,Educational Testing Service,high,previous,,,
Make Way for Ducklings,Robert McCloskey,,630.0,MetaMetrics/Viking,high,previous,,,
Don't Let the Pigeon Drive the Bus!,Mo Willems,,120.0,MetaMetrics/Disney Hyperion,high,previous,,,
"Little House in the Big Woods (Little House, #1)",Laura Ingalls Wilder,,900.0,Educational Testing Service,high,previous,,,
Bridge to Terabithia,Katherine Paterson,,810.0,MetaMetrics/HarperTrophy,high,previous,,,
Blueberries for Sal,Robert McCloskey,,640.0,Educational Testing Service,high,previous,,,
"The Lion, the Witch and the Wardrobe (Chronicles of Narnia, #1)",C.S. Lewis,,940.0,Educational Testing Service,high,previous,,,
The Paper Bag Princess,Robert Munsch,,490.0,Educational Testing Service,high,previous,,,
Chrysanthemum,Kevin Henkes,,560.0,MetaMetrics/Greenwillow,high,previous,,,
The Little House,Virginia Lee Burton,,680.0,Educational Testing Service,high,previous,,,
"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",J.K. Rowling,,880.0,Publisher/Scholastic,high,previous,,,
"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",J.K. Rowling,,940.0,Educational Testing Service,high,previous,,,
"Harry Potter and the Deathly Hallows (Harry Potter, #7)",J.K. Rowling,,880.0,Publisher Data,high,previous,,,
"Harry Potter and the Goblet of Fire (Harry Potter, #4)",J.K. Rowling,,880.0,MetaMetrics,high,previous,,,
Lilly's Purple Plastic Purse,Kevin Henkes,,530.0,Educational Testing Service,high,previous,,,
"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",J.K. Rowling,,950.0,Educational Publishers,high,previous,,,
"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",J.K. Rowling,,1030.0,Educational Testing,high,previous,,,
Sylvester and the Magic Pebble,William Steig,,680.0,MetaMetrics/Windmill,high,previous,,,
Strega Nona,Tomie dePaola,,460.0,MetaMetrics/Simon & Schuster,high,previous,,,
Coraline,Neil Gaiman,,740.0,MetaMetrics/HarperCollins,high,previous,,,
Number the Stars,Lois Lowry,,670.0,Educational Testing Service,high,previous,,,
"Little House on the Prairie (Little House, #3)",Laura Ingalls Wilder,,920.0,MetaMetrics/HarperCollins,high,previous,,,
The Going To Bed Book,Sandra Boynton,,140.0,MetaMetrics,high,previous,,,
Because of Winn-Dixie,Kate DiCamillo,,670.0,MetaMetrics/Candlewick,high,previous,,,
The Napping House,Audrey Wood,,430.0,MetaMetrics/Harcourt,high,previous,,,
Mike Mulligan and His Steam Shovel,Virginia Lee Burton,,710.0,MetaMetrics/Houghton Mifflin,high,previous,,,
"The Bad Beginning (A Series of Unfortunate Events, #1)",Lemony Snicket,,1010.0,MetaMetrics/HarperCollins,high,previous,,,
Bread and Jam for Frances,Russell Hoban,,360.0,Educational Testing Service,high,previous,,,
"No, David!",David Shannon,,270.0,MetaMetrics/Scholastic,high,previous,,,
"The Lightning Thief (Percy Jackson and the Olympians, #1)",Rick Riordan,,680.0,MetaMetrics/Disney Hyperion,high,previous,,,
Bedtime for Frances,Russell Hoban,,340.0,MetaMetrics/HarperCollins,high,previous,,,
The Berenstain Bears and the Messy Room,Stan Berenstain,,320.0,MetaMetrics/Random House,high,previous,,,
"Anne of Avonlea (Anne of Green Gables, #2)",L.M. Montgomery,,1000.0,Educational Testing Service,high,previous,,,
Owl Moon,Jane Yolen,,630.0,MetaMetrics/Philomel,high,previous,,,
"The Long Winter (Little House, #6)",Laura Ingalls Wilder,,980.0,Educational Publishers,high,previous,,,
Swimmy,Leo Lionni,,570.0,MetaMetrics/Pantheon,high,previous,,,
King Bidgood's in the Bathtub,Audrey Wood,,520.0,Educational Testing Service,high,previous,,,
"Lyle, Lyle, Crocodile",Bernard Waber,,620.0,MetaMetrics/Houghton Mifflin,high,previous,,,
Don't Let the Pigeon Stay Up Late!,Mo Willems,,160.0,Publisher/Disney Hyperion,high,previous,,,
Tuesday,David Wiesner,,200.0,MetaMetrics/Clarion,high,previous,,,
The Wolves in the Walls,Neil Gaiman,,680.0,Publisher/HarperCollins,high,previous,,,
Jumanji,Chris Van Allsburg,,590.0,Educational Testing Service,high,previous,,,
"The Last Battle (Chronicles of Narnia, #7)",C.S. Lewis,,1000.0,MetaMetrics,high,previous,,,
"The Voyage of the Dawn Treader (Chronicles of Narnia, #3)",C.S. Lewis,,980.0,Educational Publishers,high,previous,,,
Quick as a Cricket,Audrey Wood,,400.0,Educational Testing,high,previous,,,
"We Are in a Book! (Elephant & Piggie, #13)",Mo Willems,,280.0,Educational Testing Service,high,previous,,,
Room on the Broom,Julia Donaldson,,490.0,Educational Testing Service,high,previous,,,
The Carrot Seed,Ruth Krauss,,340.0,Educational Testing Service,high,previous,,,
The Mysteries of Harris Burdick,Chris Van Allsburg,,620.0,Educational Publishers,high,previous,,,
"Anne of the Island (Anne of Green Gables, #3)",L.M. Montgomery,,1010.0,Publisher/Bantam,high,previous,,,
Silly Sally,Audrey Wood,,380.0,MetaMetrics,high,previous,,,
Piggies,Audrey Wood,,220.0,Publisher Data,high,previous,,,
The Pigeon Finds a Hot Dog!,Mo Willems,,140.0,MetaMetrics,high,previous,,,
"The Silver Chair (Chronicles of Narnia, #4)",C.S. Lewis,,990.0,Educational Testing,high,previous,,,
Sector 7,David Wiesner,,210.0,Educational Testing Service,high,previous,,,
"On the Banks of Plum Creek (Little House, #4)",Laura Ingalls Wilder,,940.0,Publisher/HarperCollins,high,previous,,,
"The Magic Faraway Tree (The Faraway Tree, #2)",Enid Blyton,,720.0,MetaMetrics/Egmont,high,previous,,,
The Keeping Quilt,Patricia Polacco,,520.0,Educational Testing Service,high,previous,,,
The Berenstain Bears Learn About Strangers,Stan Berenstain,,420.0,Publisher Data,high,previous,,,
Thomas' Snowsuit,Robert Munsch,,460.0,Publisher/Annick Press,high,previous,,,
"The Enchanted Wood (The Faraway Tree, #1)",Enid Blyton,,710.0,Educational Testing Service,high,previous,,,
Mortimer,Robert Munsch,,450.0,Publisher Data,high,previous,,,
Doctor De Soto,William Steig,,640.0,Educational Testing Service,high,previous,,,
Owen,Kevin Henkes,,510.0,Publisher/Greenwillow,high,previous,,,
Madeline's Rescue,Ludwig Bemelmans,,580.0,Educational Testing Service,high,previous,,,
The Day I Swapped My Dad for Two Goldfish,Neil Gaiman,,520.0,MetaMetrics,high,previous,,,
David Goes to School,David Shannon,,290.0,Educational Testing Service,high,previous,,,
Katy and the Big Snow,Virginia Lee Burton,,690.0,MetaMetrics/Houghton Mifflin,high,previous,,,
"Prince Caspian (Chronicles of Narnia, #2)",C.S. Lewis,,980.0,Publisher Data,high,previous,,,
"There Is a Bird on Your Head! (Elephant & Piggie, #4)",Mo Willems,,280.0,Educational Publishers,high,previous,,,
"The Last Olympian (Percy Jackson and the Olympians, #5)",Rick Riordan,,740.0,Educational Publishers,high,previous,,,
"Anne of Windy Poplars (Anne of Green Gables, #4)",L.M. Montgomery,,1020.0,MetaMetrics,high,previous,,,
Peter's Chair,Ezra Jack Keats,,530.0,MetaMetrics/HarperCollins,high,previous,,,
How Do Dinosaurs Eat Their Food?,Jane Yolen,,440.0,MetaMetrics,high,previous,,,
Heckedy Peg,Audrey Wood,,480.0,Publisher/Harcourt,high,previous,,,
"Mr. Putter & Tabby Walk the Dog (Mr. Putter & Tabby, #2)",Cynthia Rylant,,500.0,MetaMetrics/Harcourt,high,previous,,,
"Five Run Away Together (Famous Five, #3)",Enid Blyton,,740.0,Publisher/Hodder,high,previous,,,
A Hole is to Dig,Ruth Krauss,,460.0,MetaMetrics/HarperCollins,high,previous,,,
Stick Man,Julia Donaldson,,450.0,MetaMetrics,high,previous,,,
"Pinkerton, Behave!",Steven Kellogg,,510.0,MetaMetrics/Dial,high,previous,,,
The Snail and the Whale,Julia Donaldson,,500.0,Educational Publishers,high,previous,,,
"Murmel, Murmel, Murmel",Robert Munsch,,440.0,Educational Testing,high,previous,,,
Pink and Say,Patricia Polacco,,540.0,MetaMetrics/Philomel,high,previous,,,
The Devil's Arithmetic,Jane Yolen,,730.0,Educational Testing Service,high,previous,,,
Rosie's Walk,Pat Hutchins,,220.0,MetaMetrics/Macmillan,high,previous,,,
Blueberry Girl,Neil Gaiman,,580.0,Publisher Data,high,previous,,,
"Julius, the Baby of the World",Kevin Henkes,,540.0,Educational Publishers,high,previous,,,
Inch by Inch,Leo Lionni,,560.0,Educational Testing Service,high,previous,,,
"Thank You, Mr. Falker",Patricia Polacco,,470.0,MetaMetrics/Philomel,high,previous,,,
David Gets in Trouble,David Shannon,,310.0,Publisher/Scholastic,high,previous,,,
Chicken Sunday,Patricia Polacco,,500.0,MetaMetrics/Philomel,high,previous,,,
The Old Woman Who Named Things,Cynthia Rylant,,620.0,Educational Testing Service,high,previous,,,
"Second Form at Malory Towers (Malory Towers, #2)",Enid Blyton,,760.0,MetaMetrics,high,previous,,,
"The Son of Neptune (The Heroes of Olympus, #2)",Rick Riordan,,770.0,Educational Testing,high,previous,,,
"The Battle of the Labyrinth (Percy Jackson and the Olympians, #4)",Rick Riordan,,730.0,MetaMetrics,high,previous,,,
